cellphone_id,brand,model,operating system,internal memory,RAM,performance,main camera,selfie camera,battery size,screen size,weight,price,release date
0,Apple,iPhone SE (2022),iOS,128,4,7.23,12,7,2018,4.7,144,429,2022/03/18
1,Apple,iPhone 13 Mini,iOS,128,4,7.72,12,12,2438,5.4,141,699,2021/09/24
2,Apple,iPhone 13,iOS,128,4,7.75,12,12,3240,6.1,174,699,2021/09/24
3,Apple,iPhone 13 Pro,iOS,256,6,7.94,12,12,3065,6.1,204,999,2021/09/24
4,Apple,iPhone 13 Pro Max,iOS,256,6,8.01,12,12,4352,6.7,240,1199,2021/09/24
5,Apple,iPhone XR,iOS,64,3,4.22,12,7,2942,6.1,194,236,2018/10/26
6,Asus,Zenfone 8,Android,128,8,6.76,64,12,4000,5.9,169,599,2021/05/12
7,Samsung,Galaxy A13,Android,32,3,1.36,50,8,5000,6.6,196,154,2022/03/23
8,Samsung,Galaxy A32,Android,64,4,2.2,48,13,5000,6.5,205,199,2021/01/22
9,Samsung,Galaxy A53,Android,128,6,3.79,64,32,5000,6.5,189,312,2022/03/24
10,Samsung,Galaxy S22,Android,128,8,8.81,50,10,3700,6.1,167,528,2022/02/25
11,Samsung,Galaxy S22 Plus,Android,128,8,7.22,50,10,4500,6.6,195,899,2022/02/25
12,Samsung,Galaxy S22 Ultra,Android,128,8,9.68,108,40,5000,6.8,228,840,2022/02/25
13,Samsung,Galaxy Z Flip 3,Android,128,8,5.96,12,10,3300,6.7,183,899,2021/08/11
14,Samsung,Galaxy Z Fold 3,Android,256,12,6.35,12,4,4400,7.6,271,1799,2021/08/11
15,Google,Pixel 6,Android,128,8,6.76,50,8,4614,6.4,207,499,2021/10/28
16,Google,Pixel 6a,Android,128,6,6.88,12,8,4410,6.1,178,449,2021/07/21
17,Google,Pixel 6 Pro,Android,128,12,7.19,50,11,5003,6.7,210,699,2021/10/28
18,OnePlus,Nord N20,Android,128,6,3.8,64,16,4500,6.4,173,299,2022/04/28
19,OnePlus,Nord N20,Android,128,8,6.04,50,32,4500,6.4,190,379,2022/05/21
20,OnePlus,10 Pro,Android,128,8,8.86,48,32,5000,6.7,201,780,2022/01/11
21,OnePlus,10T,Android,128,8,11.0,50,16,4800,6.7,204,649,2022/08/06
22,Oppo,Find X5 Pro,Android,256,12,10.12,50,32,5000,6.7,218,987,2022/03/14
23,Vivo,X80 Pro,Android,256,8,9.81,50,32,4700,6.7,215,872,2022/04/29
24,Xiaomi,Redmi Note 11,Android,128,4,2.44,50,13,5000,6.4,179,174,2022/02/09
25,Xiaomi,11T Pro,Android,256,8,7.59,108,16,5000,6.6,204,435,2021/10/05
26,Xiaomi,12 Pro,Android,128,8,9.85,50,32,4600,6.7,204,618,2021/12/31
27,Xiaomi,Poco F4,Android,128,8,6.98,64,20,4500,6.6,195,428,2022/07/27
28,Sony,Xperia Pro,Android,512,12,6.82,12,8,4000,6.5,225,1998,2021/01/27
29,Motorola,Moto G Stylus (2022),Android,128,6,2.3,50,16,5000,6.8,215,500,2022/04/27
30,Motorola,Moto G Play (2021),Android,32,3,1.42,13,5,5000,6.5,204,159,2021/01/14
31,Motorola,Moto G Pure,Android,32,3,1.02,13,5,4000,6.5,188,129,2021/10/14
32,Motorola,Moto G Power (2022),Android,64,4,1.35,50,8,5000,6.5,203,189,2022/02/22
